CUSTOMER_ID,FIRST_NAME,LAST_NAME,COUNTRY,AGE_GROUP,EDUCATION_LEVEL,MARITAL_STATUS
1,Magali,Oquinn,Costa Rica,25-39,2,2
2,Gearldine,Cummings,Tanzania,18-25,2,3
3,Fay,Brozek,Japan,40-55,4,1
4,Augustus,Finkenbinder,Italy,40-55,6,2
5,Emerita,Hornlein,Uganda,25-39,3,2
6,Bobette,Poss,Zambia,18-25,1,2
7,Andrea,Luebbe,Côte d’Ivoire,25-39,0,1
8,Soledad,Estabillo,Sweden,18-25,2,2
9,Marquita,Demere,Kenya,25-39,3,2
10,Mia,Linak,Bangladesh,40-55,1,2
11,Evelyn,Krakowsky,Oman,18-25,1,2
12,Xavier,Herbert,Germany,25-39,1,2
13,Alysha,Naples,Germany,25-39,1,0
14,Nikki,Bahrke,French Polynesia,18-25,1,0
15,Kathryn,Keplinger,Palestine,18-25,0,2
16,Raymon,Contrenas,Guatemala,55-67,0,2
17,Danille,Copland,Luxembourg,25-39,3,3
18,Talisha,Frigge,United Arab Emirates,40-55,1,1
19,Antione,Lifer,China,25-39,2,2
20,Herb,Caspi,Togo,25-39,1,2
21,Roscoe,Kray,France,25-39,1,2
22,Bella,Salsberry,United Kingdom,18-25,6,2
23,Luciana,Glory,Morocco,18-25,2,2
24,Arica,Livasy,Mexico,18-25,4,2
25,Garland,Rattigan,Afghanistan,25-39,1,2
26,Milton,Blinn,Albania,25-39,4,1
27,Rosendo,Greist,Greece,25-39,3,1
28,Garfield,Madi,China,40-55,3,2
29,Micki,Winne,Malaysia,25-39,4,0
30,Monserrate,Petrino,France,25-39,1,1
31,Shaniqua,Jucean,Canada,40-55,2,1
32,Flossie,Robison,Qatar,40-55,4,2
33,Gwen,Calkins,Sweden,25-39,1,2
34,Noma,Milek,Israel,25-39,1,2
35,Blair,Goist,Saudi Arabia,40-55,2,3
36,Yen,Dauphin,Thailand,55-67,1,0
37,Buck,Silloway,Australia,25-39,3,1
38,Darron,Maidonado,Bahrain,55-67,3,1
39,Kandy,Pacific,Colombia,25-39,4,1
40,Dana,Maclean,Paraguay,25-39,1,2
41,Iraida,Geasley,Ireland,40-55,1,3
42,Irmgard,Dutka,Greece,40-55,3,1
43,Katelyn,Koonz,Saudi Arabia,25-39,6,2
44,Sherise,Dezalia,Serbia,55-67,3,0
45,Yoshiko,Dietzen,Myanmar (Burma),25-39,0,1
46,Tania,Plaskett,Poland,40-55,3,2
47,Rosalva,Levi,Malaysia,18-25,3,2
48,Ima,Hanmer,Nigeria,25-39,4,0
49,Remedios,Richelieu,Argentina,25-39,4,1
50,Su,Nealen,Afghanistan,40-55,2,1
51,Dagmar,Sammer,Nigeria,18-25,1,3
52,Kaci,Claxton,Slovenia,25-39,1,2
53,Fredericka,Mcgrapth,Latvia,40-55,2,1
54,Deadra,Logero,Germany,18-25,4,2
55,Trent,Stallons,Lebanon,25-39,2,2
56,Nicolette,Patella,Italy,25-39,1,2
57,Valene,Takaoka,Oman,25-39,3,2
58,Bill,Spene,Barbados,18-25,3,3
59,Yaeko,Filippides,Anguilla,25-39,4,2
60,Nadine,Kircher,Morocco,25-39,3,1
61,Damien,Poeschl,Vietnam,40-55,3,2
62,Abbey,Gustis,Portugal,25-39,6,1
63,Nakisha,Yandow,Austria,18-25,1,2
64,Malika,Kawski,India,18-25,1,2
65,Despina,Workowski,India,25-39,3,2
66,Agripina,Sheldrup,Bulgaria,25-39,1,2
67,Shawnna,Clearo,Réunion,40-55,1,2
68,Fiona,Tomlin,Panama,25-39,3,3
69,Edyth,Watkinson,Bahamas,18-25,1,3
70,Ricky,Curtner,Saudi Arabia,25-39,1,3
71,Angelena,Noto,Netherlands,25-39,3,2
72,Melany,Kmiotek,Panama,40-55,2,2
73,Bette,Lamoureaux,Jamaica,40-55,0,3
74,Season,Gunsolus,Serbia,55-67,2,3
75,Amelia,Grboyan,Bahamas,18-25,0,1
76,Frieda,Mickleberry,Netherlands,40-55,3,1
77,Leann,Strickert,Hong Kong,25-39,3,2
78,Noe,Thoeny,Morocco,18-25,4,1
79,Joey,Dumouchel,Mauritius,40-55,2,1
80,Lewis,Tarasuik,Slovenia,18-25,2,2
81,Denae,Rizza,Malaysia,40-55,2,3
82,Lasandra,Gordy,Switzerland,25-39,3,1
83,Salena,Forsha,China,25-39,2,0
84,Kylee,Andebe,Portugal,25-39,3,0
85,Sherell,Planck,Turkey,25-39,1,2
86,Lucinda,Devone,Nepal,25-39,1,2
87,Alonso,Weather,Qatar,25-39,2,2
88,Catherine,Lorenzetti,Paraguay,40-55,6,1
89,Corrie,Evans,South Korea,18-25,3,1
90,Elia,Kuschel,Philippines,25-39,2,2
91,Marcelene,Gire,Russia,18-25,3,1
92,Ozie,Kline,Costa Rica,18-25,1,3
93,Germaine,Kochel,Estonia,25-39,2,2
94,Katina,Futrelle,Uruguay,25-39,4,3
95,Kenia,Chien,Uganda,25-39,6,2
96,Reyes,Lyn,Uzbekistan,18-25,3,2
97,Sharonda,Hambly,Belarus,25-39,2,1
98,Caroyln,Gruda,Germany,18-25,2,2
99,Terri,Bacigalupi,Dominican Republic,25-39,6,2
100,Jenniffer,Otteson,Trinidad & Tobago,18-25,1,2
101,Sharan,Umanzor,Belgium,25-39,3,1
102,Lauren,Wise,Kazakhstan,18-25,2,1
103,Soo,Pousson,Slovenia,25-39,0,1
104,Valene,Peretz,Dominican Republic,40-55,1,0
105,Foster,Himmelmann,Qatar,18-25,1,3
106,Rasheeda,Tunson,Macedonia (FYROM),40-55,2,2
107,Hung,Emeche,Israel,40-55,3,2
108,Toi,Schweder,Morocco,40-55,2,2
109,Dorine,Weinzetl,Macau,55-67,2,2
110,Evalyn,Kukler,Monaco,40-55,4,2
111,Armandina,Luchsinger,Canada,18-25,4,2
112,Ashlee,Antilla,Lithuania,25-39,1,2
113,Shin,Dreuitt,Ireland,25-39,3,2
114,Isadora,Gionet,Panama,25-39,1,1
115,Adelia,Criste,Brazil,40-55,3,1
116,Suzie,Merl,Romania,40-55,0,3
117,Nadia,Bawden,Belize,40-55,3,2
118,Drusilla,Crouser,Estonia,40-55,4,1
119,Caroline,Bertorelli,Suriname,25-39,2,2
120,Kitty,Franken,El Salvador,18-25,3,2
121,Armida,Laclaire,Finland,18-25,0,1
122,Mavis,Ginard,Nigeria,25-39,1,3
123,Dwain,Zeiders,Sweden,18-25,2,2
124,Mana,Voong,United States,18-25,4,2
125,Sharron,Bolliger,Dominican Republic,40-55,0,2
126,Somer,Litle,Paraguay,25-39,2,2
127,Leena,Youtsey,Japan,18-25,3,3
128,Albertina,Naret,Macedonia (FYROM),25-39,1,1
129,Camellia,Sommese,New Zealand,25-39,1,2
130,Rozella,Robleto,Brazil,40-55,3,0
131,Eugena,Mcphatter,Russia,25-39,4,1
132,Kimbery,Kyler,Chile,18-25,1,0
133,Sara,Christopher,New Zealand,25-39,1,2
134,Shiloh,Wingert,Bulgaria,55-67,4,1
135,Alishia,Slappy,Zambia,18-25,1,2
136,Argelia,Vitellaro,Cayman Islands,25-39,1,1
137,Jasmin,Colledge,Venezuela,25-39,1,1
138,Sharita,Radzavich,Germany,55-67,1,1
139,Gladis,Viti,Qatar,40-55,1,0
140,Edna,Schuld,United States,40-55,3,3
141,Jeneva,Spangenberg,United States,40-55,2,2
142,Xenia,Gollob,Dominican Republic,18-25,0,2
143,Franchesca,Uber,Suriname,18-25,1,1
144,Rosia,Outlaw,Thailand,18-25,1,2
145,Cassy,Tadych,France,40-55,2,2
146,Taylor,Zirkle,El Salvador,25-39,2,2
147,Suk,Kratz,Latvia,18-25,6,2
148,Glory,Lambey,Sint Maarten,25-39,1,2
149,Tyron,Husfelt,Poland,18-25,2,2
150,Yasmine,Zottola,Martinique,40-55,3,0
151,Rachell,Bradfield,Austria,25-39,0,2
152,Yanira,Dugal,Romania,40-55,1,1
153,Chanel,Susong,Norway,18-25,1,2
154,Magdalene,Trenkle,Cameroon,25-39,3,2
155,Cathrine,Bilek,Latvia,40-55,3,2
156,Derick,Winland,New Caledonia,18-25,1,1
157,Blythe,Macahilas,Canada,18-25,1,2
158,Chin,Kreisman,Azerbaijan,25-39,2,1
159,Magen,Stettner,Kuwait,40-55,1,0
160,Dorsey,Switcher,Rwanda,18-25,1,3
161,Yer,Schnabel,Russia,18-25,2,0
162,Omar,Lauderback,Azerbaijan,18-25,4,2
163,Joane,Brotzman,Somalia,40-55,4,2
164,Pablo,Beger,Spain,55-67,4,2
